Energy	ln(density of states)
-13100	856.531801	3628.280996
-13096	857.354036	3627.710333
-13092	858.205873	3627.045550
-13088	859.030962	3626.413245
-13084	859.876924	3625.862684
-13080	860.719133	3625.244199
-13076	861.547365	3624.639544
-13072	862.363496	3623.922555
-13068	863.195650	3623.291491
-13064	864.052186	3622.714202
-13060	864.888872	3622.061756
-13056	865.693254	3621.455313
-13052	866.565401	3620.826205
-13048	867.382402	3620.246036
-13044	868.210405	3619.595240
-13040	869.063478	3618.991584
-13036	869.882722	3618.364967
-13032	870.720628	3617.656881
-13028	871.552797	3617.073214
-13024	872.403383	3616.432009
-13020	873.217927	3615.807562
-13016	874.044343	3615.084157
-13012	874.899385	3614.504412
-13008	875.739519	3613.844033
-13004	876.554323	3613.290391
-13000	877.382692	3612.522902
-12996	878.206239	3611.839592
-12992	879.063509	3611.244304
-12988	879.894762	3610.677636
-12984	880.721086	3609.971179
-12980	881.542772	3609.355000
-12976	882.391939	3608.700259
-12972	883.222490	3608.068392
-12968	884.029497	3607.431620
-12964	884.846437	3606.746987
-12960	885.718706	3606.224702
-12956	886.526964	3605.591928
-12952	887.365556	3604.902640
-12948	888.185899	3604.186834
-12944	889.038606	3603.758766
-12940	889.835283	3603.018157
-12936	890.674379	3602.300085
-12932	891.495943	3601.724869
-12928	892.324525	3601.172867
-12924	893.149522	3600.329765
-12920	893.985933	3599.785842
-12916	894.816347	3599.141258
-12912	895.637651	3598.451742
-12908	896.466936	3597.822726
-12904	897.287553	3597.129680
-12900	898.089921	3596.479370
-12896	898.935625	3595.883898
-12892	899.746095	3595.234035
-12888	900.580354	3594.542312
-12884	901.393770	3593.882523
-12880	902.240343	3593.324624
-12876	903.058443	3592.630702
-12872	903.889863	3592.016155
-12868	904.692033	3591.349614
-12864	905.522768	3590.759874
-12860	906.356142	3590.156392
-12856	907.170732	3589.406563
-12852	907.983018	3588.840572
-12848	908.837144	3588.181127
-12844	909.656694	3587.557691
-12840	910.480012	3586.807562
-12836	911.286623	3586.298605
